| specbzip_default  | 64       | 2         | 32       | 2         | 2       | 8        | 64              |
| specbzip_0        | 128      | 4         | 32       | 2         | 4       | 8        | 128             |
| specbzip_1        | 128      | 4         | 32       | 2         | 4       | 16       | 128             |
| specbzip_2        | 64       | 4         | 64       | 4         | 4       | 16       | 128             |
| specbzip_3        | 64       | 4         | 64       | 4         | 4       | 8        | 64              |
| specbzip_4        | 128      | 4         | 64       | 4         | 4       | 16       | 64              |
| specbzip_5        | 128      | 4         | 64       | 4         | 4       | 8        | 128             |
| specbzip_6        | 128      | 4         | 64       | 4         | 4       | 16       | 128             |
| specbzip_7        | 128      | 8         | 64       | 4         | 4       | 16       | 128             |
| specbzip_8        | 128      | 8         | 64       | 8         | 4       | 16       | 128             |
| specbzip_9        | 64       | 4         | 32       | 2         | 2       | 8        | 64              |
| specmcf_default   | 64       | 2         | 32       | 2         | 2       | 8        | 64              |
| specmcf_0         | 128      | 4         | 32       | 2         | 2       | 8        | 64              |
| specmcf_1         | 64       | 4         | 64       | 4         | 2       | 8        | 64              |
| specmcf_2         | 128      | 4         | 128      | 4         | 2       | 8        | 64              |
| specmcf_3         | 128      | 4         | 128      | 4         | 4       | 8        | 64              |
| specmcf_4         | 128      | 4         | 128      | 4         | 4       | 16       | 64              |
| specmcf_5         | 128      | 4         | 128      | 4         | 4       | 8        | 128             |
| specmcf_6         | 64       | 4         | 128      | 4         | 4       | 8        | 128             |
| specmcf_7         | 64       | 4         | 128      | 4         | 4       | 16       | 128             |
| spechmmer_default | 64       | 2         | 32       | 2         | 2       | 8        | 64              |
| spechmmer_0       | 64       | 4         | 32       | 2         | 2       | 8        | 64              |
| spechmmer_1       | 64       | 8         | 32       | 2         | 2       | 8        | 64              |
| spechmmer_2       | 128      | 8         | 32       | 2         | 2       | 8        | 64              |
| spechmmer_3       | 128      | 4         | 32       | 2         | 2       | 8        | 128             |
| spechmmer_4       | 128      | 4         | 32       | 2         | 4       | 8        | 128             |
| spechmmer_5       | 128      | 4         | 64       | 4         | 4       | 8        | 128             |
| spechmmer_6       | 128      | 4         | 128      | 4         | 4       | 8        | 128             |
| spechmmer_7       | 128      | 4         | 128      | 4         | 4       | 16       | 128             |
| spechmmer_8       | 64       | 4         | 64       | 4         | 4       | 16       | 128             |
| specsjeng_default | 64       | 2         | 32       | 2         | 2       | 8        | 64              |
| specsjeng_0       | 64       | 4         | 32       | 2         | 2       | 8        | 64              |
| specsjeng_1       | 128      | 4         | 32       | 2         | 2       | 8        | 64              |
| specsjeng_2       | 128      | 8         | 32       | 2         | 2       | 8        | 64              |
| specsjeng_3       | 64       | 4         | 64       | 4         | 2       | 8        | 64              |
| specsjeng_4       | 64       | 4         | 32       | 2         | 2       | 8        | 128             |
| specsjeng_5       | 64       | 4         | 32       | 2         | 4       | 8        | 128             |
| specsjeng_6       | 64       | 4         | 32       | 2         | 4       | 16       | 128             |
| specsjeng_7       | 64       | 8         | 32       | 2         | 4       | 16       | 128             |
| specsjeng_8       | 64       | 4         | 128      | 4         | 4       | 16       | 128             |
| speclibm_default  | 64       | 2         | 32       | 2         | 2       | 8        | 64              |
| speclibm_0        | 64       | 4         | 32       | 2         | 2       | 8        | 64              |
| speclibm_1        | 128      | 8         | 32       | 2         | 2       | 8        | 64              |
| speclibm_2        | 64       | 4         | 64       | 4         | 2       | 8        | 64              |
| speclibm_3        | 64       | 4         | 32       | 2         | 4       | 8        | 64              |
| speclibm_4        | 64       | 4         | 32       | 2         | 4       | 8        | 128             |
| speclibm_5        | 64       | 4         | 32       | 2         | 4       | 16       | 128             |
| speclibm_6        | 64       | 4         | 32       | 2         | 2       | 8        | 128             |
| speclibm_7        | 64       | 2         | 32       | 2         | 2       | 8        | 128             |
| speclibm_8        | 64       | 2         | 32       | 2         | 4       | 8        | 128             |
